mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,game_outcome,team,gameid
200.0,22.0,48.0,0.458,20.0,38.0,0.526,2.0,10.0,0.2,23.0,30.0,0.767,6.0,23.0,29.0,4.0,5.0,6.0,8.0,18.0,69.0,0.554,0.479,0.208,0.625,23.1,59.0,44.6,18.2,7.8,14.3,11.4,100.0,107.8,87.5,winner,UNC,0
200.0,17.0,58.0,0.293,13.0,42.0,0.31,4.0,16.0,0.25,18.0,24.0,0.75,16.0,20.0,36.0,3.0,6.0,1.0,10.0,24.0,56.0,0.403,0.328,0.276,0.414,41.0,76.9,55.4,17.6,9.4,2.6,12.6,100.0,87.5,107.8,loser,UNC Wilmington,0
200.0,43.0,67.0,0.642,38.0,55.0,0.691,5.0,12.0,0.417,13.0,16.0,0.813,7.0,30.0,37.0,22.0,15.0,2.0,13.0,26.0,104.0,0.697,0.679,0.179,0.239,29.2,76.9,58.7,51.2,18.3,6.9,14.8,100.0,126.8,76.8,winner,Gonzaga,1
200.0,21.0,59.0,0.356,13.0,29.0,0.448,8.0,30.0,0.267,13.0,22.0,0.591,9.0,17.0,26.0,13.0,7.0,1.0,22.0,19.0,63.0,0.454,0.424,0.508,0.373,23.1,70.8,41.3,61.9,8.5,1.8,24.1,100.0,76.8,126.8,loser,North Florida,1
200.0,32.0,72.0,0.444,21.0,43.0,0.488,11.0,29.0,0.379,8.0,10.0,0.8,17.0,23.0,40.0,16.0,14.0,6.0,8.0,13.0,83.0,0.541,0.521,0.403,0.139,45.9,79.3,60.6,50.0,21.5,33.3,9.4,100.0,127.7,55.4,winner,Houston,2
200.0,10.0,39.0,0.256,5.0,18.0,0.278,5.0,21.0,0.238,11.0,16.0,0.688,6.0,20.0,26.0,5.0,3.0,3.0,21.0,12.0,36.0,0.386,0.321,0.538,0.41,20.7,54.1,39.4,50.0,4.6,7.0,31.1,100.0,55.4,127.7,loser,Northern Colorado,2
200.0,34.0,62.0,0.548,23.0,38.0,0.605,11.0,24.0,0.458,16.0,28.0,0.571,8.0,32.0,40.0,20.0,10.0,5.0,10.0,12.0,95.0,0.631,0.637,0.387,0.452,26.7,74.4,54.8,58.8,12.8,11.9,11.7,100.0,121.8,80.8,winner,Kentucky,3
200.0,23.0,67.0,0.343,16.0,42.0,0.381,7.0,25.0,0.28,10.0,13.0,0.769,11.0,22.0,33.0,10.0,4.0,1.0,16.0,19.0,63.0,0.43,0.396,0.373,0.194,25.6,73.3,45.2,43.5,5.1,2.6,17.9,100.0,80.8,121.8,loser,Howard,3
200.0,37.0,72.0,0.514,23.0,38.0,0.605,14.0,34.0,0.412,29.0,43.0,0.674,21.0,26.0,47.0,27.0,12.0,7.0,9.0,22.0,117.0,0.633,0.611,0.472,0.597,52.5,81.3,65.3,73.0,14.8,19.4,8.9,100.0,144.4,65.4,winner,Baylor,4
200.0,16.0,49.0,0.327,13.0,36.0,0.361,3.0,13.0,0.231,18.0,29.0,0.621,6.0,19.0,25.0,13.0,7.0,1.0,24.0,26.0,53.0,0.422,0.357,0.265,0.592,18.8,47.5,34.7,81.3,8.6,2.6,27.7,100.0,65.4,144.4,loser,Mississippi Valley State,4
200.0,36.0,69.0,0.522,27.0,47.0,0.574,9.0,22.0,0.409,8.0,15.0,0.533,15.0,26.0,41.0,24.0,8.0,5.0,9.0,13.0,89.0,0.585,0.587,0.319,0.217,44.1,78.8,61.2,66.7,11.3,13.9,10.6,100.0,125.4,90.1,winner,Kansas,5
200.0,22.0,57.0,0.386,17.0,36.0,0.472,5.0,21.0,0.238,15.0,19.0,0.789,7.0,19.0,26.0,10.0,4.0,1.0,13.0,9.0,64.0,0.485,0.43,0.368,0.333,21.2,55.9,38.8,45.5,5.6,2.1,16.5,100.0,90.1,125.4,loser,Omaha,5
200.0,27.0,59.0,0.458,17.0,30.0,0.567,10.0,29.0,0.345,7.0,11.0,0.636,15.0,27.0,42.0,19.0,6.0,3.0,12.0,12.0,71.0,0.553,0.542,0.492,0.186,46.9,81.8,64.6,70.4,9.8,10.0,15.7,100.0,116.4,72.1,winner,Duke,6
200.0,18.0,53.0,0.34,15.0,30.0,0.5,3.0,23.0,0.13,5.0,5.0,1.0,6.0,17.0,23.0,12.0,5.0,3.0,11.0,18.0,44.0,0.397,0.368,0.434,0.094,18.2,53.1,35.4,66.7,8.2,10.0,16.6,100.0,72.1,116.4,loser,Jacksonville,6
200.0,34.0,64.0,0.531,28.0,54.0,0.519,6.0,10.0,0.6,2.0,5.0,0.4,8.0,23.0,31.0,12.0,12.0,6.0,9.0,14.0,76.0,0.573,0.578,0.156,0.078,26.7,65.7,47.7,35.3,17.4,16.2,11.9,100.0,110.1,72.5,winner,UCLA,7
200.0,19.0,55.0,0.345,17.0,37.0,0.459,2.0,18.0,0.111,10.0,17.0,0.588,12.0,22.0,34.0,7.0,2.0,1.0,19.0,12.0,50.0,0.396,0.364,0.327,0.309,34.3,73.3,52.3,36.8,2.9,1.9,23.1,100.0,72.5,110.1,loser,Sacramento State,7
200.0,26.0,66.0,0.394,18.0,32.0,0.563,8.0,34.0,0.235,12.0,14.0,0.857,12.0,25.0,37.0,11.0,5.0,6.0,4.0,10.0,72.0,0.496,0.455,0.515,0.212,33.3,83.3,56.1,42.3,7.6,16.7,5.2,100.0,109.1,90.9,winner,Creighton,8
200.0,24.0,58.0,0.414,15.0,36.0,0.417,9.0,22.0,0.409,3.0,4.0,0.75,5.0,24.0,29.0,10.0,4.0,2.0,12.0,15.0,60.0,0.501,0.491,0.379,0.069,16.7,66.7,43.9,41.7,6.1,6.3,16.7,100.0,90.9,109.1,loser,St. Thomas,8
200.0,28.0,57.0,0.491,24.0,47.0,0.511,4.0,10.0,0.4,16.0,23.0,0.696,4.0,31.0,35.0,10.0,11.0,4.0,11.0,19.0,76.0,0.559,0.526,0.175,0.404,13.8,81.6,52.2,35.7,14.9,11.4,13.9,100.0,102.7,78.4,winner,Arkansas,9
200.0,19.0,56.0,0.339,14.0,35.0,0.4,5.0,21.0,0.238,15.0,23.0,0.652,7.0,25.0,32.0,7.0,5.0,2.0,14.0,16.0,58.0,0.433,0.384,0.375,0.411,18.4,86.2,47.8,36.8,6.8,4.3,17.3,100.0,78.4,102.7,loser,North Dakota State,9
200.0,26.0,65.0,0.4,12.0,21.0,0.571,14.0,44.0,0.318,9.0,9.0,1.0,15.0,20.0,35.0,21.0,17.0,4.0,15.0,11.0,75.0,0.541,0.508,0.677,0.138,41.7,90.9,60.3,80.8,24.6,17.4,17.8,100.0,108.7,62.3,winner,Tennessee,10
200.0,13.0,40.0,0.325,8.0,23.0,0.348,5.0,17.0,0.294,12.0,19.0,0.632,2.0,21.0,23.0,5.0,8.0,0.0,21.0,10.0,43.0,0.439,0.388,0.425,0.475,9.1,58.3,39.7,38.5,11.6,0.0,30.0,100.0,62.3,108.7,loser,Tennessee Tech,10
200.0,23.0,42.0,0.548,19.0,28.0,0.679,4.0,14.0,0.286,22.0,29.0,0.759,5.0,20.0,25.0,14.0,6.0,3.0,15.0,15.0,72.0,0.645,0.595,0.333,0.69,20.8,66.7,46.3,60.9,9.2,8.1,21.2,100.0,110.8,87.7,winner,Texas,11
200.0,21.0,52.0,0.404,16.0,37.0,0.432,5.0,15.0,0.333,10.0,15.0,0.667,10.0,19.0,29.0,8.0,5.0,3.0,16.0,25.0,57.0,0.482,0.452,0.288,0.288,33.3,79.2,53.7,38.1,7.7,10.7,21.3,100.0,87.7,110.8,loser,UTEP,11
200.0,36.0,59.0,0.61,32.0,48.0,0.667,4.0,11.0,0.364,12.0,21.0,0.571,5.0,25.0,30.0,16.0,9.0,4.0,10.0,12.0,88.0,0.638,0.644,0.186,0.356,20.8,80.6,54.5,44.4,12.5,16.7,12.7,100.0,122.2,73.6,winner,Indiana,12
200.0,20.0,54.0,0.37,11.0,24.0,0.458,9.0,30.0,0.3,4.0,5.0,0.8,6.0,19.0,25.0,8.0,4.0,1.0,20.0,18.0,53.0,0.47,0.454,0.556,0.093,19.4,79.2,45.5,40.0,5.6,2.1,26.2,100.0,73.6,122.2,loser,Morehead State,12
200.0,21.0,54.0,0.389,17.0,33.0,0.515,4.0,21.0,0.19,27.0,38.0,0.711,10.0,25.0,35.0,13.0,8.0,3.0,12.0,11.0,73.0,0.507,0.426,0.389,0.704,26.3,80.6,50.7,61.9,10.8,8.8,14.3,100.0,98.6,97.3,winner,TCU,13
200.0,26.0,63.0,0.413,13.0,34.0,0.382,13.0,29.0,0.448,7.0,10.0,0.7,6.0,28.0,34.0,22.0,7.0,6.0,13.0,22.0,72.0,0.531,0.516,0.46,0.159,19.4,73.7,49.3,84.6,9.5,18.2,16.1,100.0,97.3,98.6,loser,Arkansas-Pine Bluff,13
200.0,24.0,71.0,0.338,20.0,46.0,0.435,4.0,25.0,0.16,18.0,29.0,0.621,19.0,23.0,42.0,12.0,14.0,10.0,9.0,16.0,70.0,0.413,0.366,0.352,0.408,44.2,76.7,57.5,50.0,19.2,27.8,9.6,100.0,95.9,71.2,winner,Auburn,14
200.0,21.0,56.0,0.375,14.0,36.0,0.389,7.0,20.0,0.35,3.0,8.0,0.375,7.0,24.0,31.0,9.0,3.0,4.0,19.0,23.0,52.0,0.435,0.438,0.357,0.143,23.3,55.8,42.5,42.9,4.1,8.7,24.1,100.0,71.2,95.9,loser,George Mason,14
200.0,29.0,52.0,0.558,16.0,32.0,0.5,13.0,20.0,0.65,10.0,11.0,0.909,5.0,25.0,30.0,13.0,4.0,4.0,9.0,18.0,81.0,0.708,0.683,0.385,0.212,21.7,73.5,52.6,44.8,6.5,13.3,13.6,100.0,130.6,109.7,winner,Villanova,15
200.0,22.0,55.0,0.4,12.0,30.0,0.4,10.0,25.0,0.4,14.0,20.0,0.7,9.0,18.0,27.0,11.0,6.0,0.0,8.0,15.0,68.0,0.527,0.491,0.455,0.364,26.5,78.3,47.4,50.0,9.7,0.0,11.0,100.0,109.7,130.6,loser,La Salle,15
200.0,38.0,53.0,0.717,27.0,35.0,0.771,11.0,18.0,0.611,30.0,40.0,0.75,7.0,36.0,43.0,30.0,7.0,5.0,24.0,22.0,117.0,0.813,0.821,0.34,0.755,33.3,81.8,66.2,78.9,7.8,9.3,25.0,100.0,130.0,83.3,winner,Arizona,16
200.0,29.0,72.0,0.403,22.0,54.0,0.407,7.0,18.0,0.389,10.0,22.0,0.455,8.0,14.0,22.0,11.0,17.0,1.0,16.0,29.0,75.0,0.455,0.451,0.25,0.306,18.2,66.7,33.8,37.9,18.9,2.9,16.3,100.0,83.3,130.0,loser,Nicholls State,16
200.0,20.0,47.0,0.426,9.0,22.0,0.409,11.0,25.0,0.44,22.0,30.0,0.733,8.0,27.0,35.0,16.0,4.0,4.0,7.0,12.0,73.0,0.596,0.543,0.532,0.638,33.3,79.4,60.3,80.0,6.7,11.8,10.3,100.0,121.7,101.7,winner,Virginia,17
200.0,22.0,53.0,0.415,14.0,34.0,0.412,8.0,19.0,0.421,9.0,14.0,0.643,7.0,16.0,23.0,8.0,6.0,4.0,8.0,25.0,61.0,0.511,0.491,0.358,0.264,20.6,66.7,39.7,36.4,10.0,18.2,11.8,100.0,101.7,121.7,loser,North Carolina Central,17
200.0,28.0,52.0,0.538,20.0,34.0,0.588,8.0,18.0,0.444,16.0,23.0,0.696,4.0,21.0,25.0,18.0,12.0,1.0,12.0,16.0,80.0,0.636,0.615,0.346,0.442,16.0,80.8,49.0,64.3,16.7,3.4,16.0,100.0,111.1,79.2,winner,San Diego State,18
200.0,20.0,51.0,0.392,16.0,29.0,0.552,4.0,22.0,0.182,13.0,17.0,0.765,5.0,21.0,26.0,6.0,6.0,3.0,18.0,20.0,57.0,0.482,0.431,0.431,0.333,19.2,84.0,51.0,30.0,8.3,8.8,23.4,100.0,79.2,111.1,loser,Cal State Fullerton,18
200.0,27.0,69.0,0.391,24.0,41.0,0.585,3.0,28.0,0.107,18.0,26.0,0.692,19.0,43.0,62.0,10.0,6.0,9.0,19.0,18.0,75.0,0.461,0.413,0.406,0.377,45.2,78.2,63.9,37.0,7.6,15.5,18.9,100.0,94.9,68.4,winner,Alabama,19
200.0,19.0,71.0,0.268,14.0,58.0,0.241,5.0,13.0,0.385,11.0,19.0,0.579,12.0,23.0,35.0,8.0,8.0,3.0,9.0,22.0,54.0,0.337,0.303,0.183,0.268,21.8,54.8,36.1,42.1,10.1,7.3,10.1,100.0,68.4,94.9,loser,Longwood,19
200.0,29.0,63.0,0.46,23.0,38.0,0.605,6.0,25.0,0.24,16.0,28.0,0.571,17.0,24.0,41.0,15.0,13.0,5.0,10.0,12.0,80.0,0.524,0.508,0.397,0.444,47.2,85.7,64.1,51.7,19.1,16.7,11.6,100.0,117.6,66.2,winner,Oregon,20
